questions,answers
What documents are required for registration?,"So, for registration, you'll need to submit an application on the company letterhead, along with the following documents: 
(i) info about the proposed Directors/shareholders as per Annex V, 
(ii) sources of funds of the proposed shareholders, 
(iii) declarations by the proposed Directors/shareholders that they're not associated with any unincorporated body accepting deposits, 
(iv) declarations that they're not associated with any company whose CoR application was rejected by the Reserve Bank, 
(v) declarations that they haven't been convicted of any crime and have no pending criminal cases, 
(vi) a Banker's Report on the proposed Directors/shareholders, 
and a Deed of Covenants signed by the Directors, as per Annex IV. That's quite a list, right?"
रजिस्ट्रेशन के लिए किन डाक्यूमेंट्स की ज़रुरत है,"रजिस्ट्रेशन के लिए आपको कुछ डॉक्युमेंट्स की जरूरत होगी, जैसे कि आधार कार्ड, और साथ ही सी के वाई सी वेरिफिकेशन भी हो सकता है! लेंडिंग के लिए वेरिफिकेशन प्रोसेस में आपको इन डॉक्युमेंट्स की आवश्यकता हो सकती है, लेकिन मैं यहाँ पर विशेष रूप से कोई डॉक्युमेंट्स नहीं देख पा रहा हूँ जो रजिस्ट्रेशन के लिए स्पेसिफिक हों! आप और क्या जानना चाहते हैं?"
Registration ke liye kaunse documents chahiye?,"Aapko registration ke liye kuch documents chahiye honge, jaise ki aapka date of birth, educational qualifications, permanent address, present address, email address, telephone number, aur PAN number. Agar aap director banne ja rahe hain, to aapko aur bhi kuch documents chahiye honge, jaise ki aapka DIN, social security number, ya passport number. Sabse accha hoga ki aap poora form bharein aur saari details dalein, taaki aapka registration asaani se ho sake. Kya aapko aur kuch puchhna hai?"
How can I track my loan repayments?,"Your loan repayments are due on the 1st of every month, and you'll get a statement that includes the number and amount of loans disbursed, closed, and outstanding - that should help you keep track of your repayments!"
मई अपने लोन रेपैमेंट्स कैसे ट्रैक कर सकता हु?,"अरे भाई, तुम अपने लोन रेपैमेंट्स को LenDenClub की वेबसाइट या ऐप पर जाकर ट्रैक कर सकते हो! बस अपने अकाउंट में लॉगिन करो, और फिर लोन स्टेटस चेक करो... यहाँ तुम्हें पता चल जाएगा कि तुमने कितने पैसे अभी तक चुकाए हैं और आगे कितने पैसे चुकाने हैं!"
Main apne loan ka repayment kaise track kar sakta hoon?,"Arre, apne loan ka repayment track karna bahut aasan hai! Aap LenDenClub ki website ya app par jaakar apne account mein login kar sakte hain, aur wahan se aap apne loan ki status aur repayment schedule dekh sakte hain. Agar aapko aur bhi madad chahiye, toh aap support@lendenclub.com par email kar sakte hain ya humse directly contact bhi kar sakte hain!"
Is my investment safe on LenDenClub?,"Honestly, no... your investment isn't completely safe on LenDenClub. They clearly state that they don't guarantee loan fulfillment or investment returns, and lenders are responsible for their own investment decisions. So, there's a risk of partial or full loss of your principal and/or interest. You should be careful and consider this before investing!"
क्या lendenclub में इन्वेस्टमेंट सुरक्षित है?,"बिल्कुल, लेन्डनक्लब में इन्वेस्टमेंट करना सुरक्षित है! लेन्डनक्लब आरबीआई रजिस्टर्ड एनबीएफसी-पी2पी प्लेटफॉर्म है, और यह इन्नोफिन सोल्यूशंस प्राइवेट लिमिटेड द्वारा संचालित किया जाता है। यह प्लेटफॉर्म लेंडर्स और बॉरोअर्स को इलेक्ट्रॉनिक प्लेटफॉर्म के माध्यम से जोड़ता है, जो वेबसाइट और/या मोबाइल ऐप के माध्यम से किया जाता है। इसके अलावा, लेन्डनक्लब फ्रैक्शनल मैचमेकिंग पी2पी प्लान (एफएमपीपी) भी प्रदान करता है, जो आपके लेंडिंग को विविधता प्रदान करने में मदद करता है!"
Kya LendenClub me mera investment safe hai?,"Bilkul, LenDenClub RBI registered NBFC-P2P hai, jiska matlab hai ki yeh platform ko RBI ki guidelines follow karna hota hai. Isse aapka investment thoda safe ho jata hai. Aur, LenDenClub ki AUM ₹1023 Cr hai, jo ki ek badi amount hai, aur unka NPA 3.78% hai, jo ki controlled hai. Toh, aapka investment LenDenClub me thoda safe hai, lekin phir bhi aapko apne investment ke bare me soch samajh kar decision lena chahiye."
How long does the verification process take?,"That's not entirely clear, to be honest! The registration process involves a few steps, and the timing can vary. The company has 12 months to put everything in place, and then they need to report back to the Reserve Bank within 15 days of any changes. But, I didn't see a specific timeline for the verification process itself. Can you tell me what you're looking for - are you trying to register an NBFC-P2P or something else?"
वेरिफिकेशन प्रोसेस में कितना समय लगता है?,"वेरिफिकेशन प्रोसेस में लगने वाला समय क्या है... यह जानकारी तो नहीं है मुझे, आप और कुछ पूछना चाहते हैं क्या?"
verification process me kitna time lagta hai?,"Verification process me lagne wala time alag-alag cases me alag ho sakta hai, lekin mujhe iske liye exact time frame ke bare me kuchh specific information nahi mila. Aap mujhe aur bata sakte hain ki aap kaunsa verification process ke bare me puchh rahe hain, jaise ki Aadhar verification ya phir koi dusra?"
Can I lend to multiple borrowers at once?,"Yes, you can lend to multiple borrowers at once, that's the idea behind diversifying your lending portfolio. We've got a fractional matchmaking P2P plan that lets you lend to multiple borrowers, so you can spread your risk and increase your potential returns!"
क्या मैं एक साथ कई बोर्रोवेर्स को लोन दे सकता हूँ?,मुझे लगता है कि यह जानकारी तो यहाँ नहीं है! क्या आप कुछ और जानकारी चाहते हैं जो मेरे पास हो सकती है?
Kya main ek saath multiple borrowers ko loan de sakta hoon?,"Haan, aap ek saath multiple borrowers ko loan de sakte hain! LenDenClub ki peer-to-peer lending platform aapko yeh suvidha deti hai. Aap fractional matchmaking P2P plan mein invest kar sakte hain, jisme aap apne investment ko multiple borrowers mein diversify kar sakte hain. Isse aapke risk ko kam kiya ja sakta hai aur aapko better returns mil sakte hain."
Did you face any issues?,"I'm sorry to hear that, can you please share the details so I can assist you?"
Can you share the details so I can assist you?,"Yes, please share the details, it'll be helpful for me to understand your issue and provide assistance. If it's something technical, you can also email a screenshot to support@lendenclub.com, okay?"
Mai register kaise kar sakta hu?,"Register karne ke liye, aapko humse baat karni hogi, aur main aapki madad karunga! Pehle, mujhe aapki kuch details chahiye, aur phir main aapko registration process ke baare mein bataunga, theek hai? Aap LenDenClub mein register karne ke liye taiyaar hain?"
मई रजिस्टर कैसे कर सकती हु,"आपको रजिस्टर करने में मदद करने के लिए, क्या आप मुझे बता सकती हैं कि आप LenDenClub प्लेटफ़ॉर्म पर रजिस्टर करना चाहती हैं? अगर हाँ, तो मैं आपको बता सकती हूँ कि आपको सबसे पहले वेबसाइट पर जाना होगा और साइन अप बटन पर क्लिक करना होगा! उसके बाद, आपको कुछ बेसिक जानकारी भरनी होगी, जैसे कि आपका नाम, ईमेल पता, और फ़ोन नंबर। और फिर, आपको वेरिफिकेशन प्रक्रिया से गुजरना होगा, जिसमें आपको अपने आधार कार्ड और अन्य दस्तावेज़ अपलोड करने होंगे! ठीक है, क्या आप तैयार हैं?"
